name,twitter,institution,gov_followers,congress_followers,news_followers,gov_following,congress_following,news_following,num_followers,num_following,position,num_citation,freq_original,freq_total,inner_betweeness,inner_degree
Mary Clare  Amselem,MCAmselem,heritage,0,3,5,10,20,53,3677,752,2,0,0.970660147,1.464547677,0.007221978,0.385542169
"Ryan T. Anderson, Ph.D.",RyanTAnd,heritage,3,10,10,2,10,10,31600,586,3,0,2.155339806,2.898058252,0.001733474,0.421686747
Doug  Badger,Dougsbriefcase,heritage,0,0,0,3,3,14,605,157,1,0,0.294263106,0.296241345,0,0.024096386
Daren  Bakst,darenbakst,heritage,0,1,1,0,1,6,894,666,3,0,0.37443609,0.45112782,0.002856244,0.277108434
Frederico  Bartels,FredericoBF,heritage,0,0,0,10,7,7,616,501,3,0,0.355329949,0.76142132,0.025736239,0.385542169
Gabriella   Beaumont-Smith,GabAboutTrade,heritage,0,0,0,8,2,32,102,291,2,0,0.017699115,0.145385588,0.001711589,0.144578313
"Theodore R. Bromund, Ph.D.",Bromund,heritage,1,1,1,0,2,4,1041,310,3,0,0.163485071,0.291238375,0.000246326,0.228915663
Peter  Brookes,Brookes_Peter,heritage,0,1,6,47,0,90,1673,456,3,0,0.162756598,0.438416422,0.000206635,0.34939759
"Lindsey M. Burke, Ph.D.",lindseymburke,heritage,3,12,7,15,39,56,4648,1773,4,0,0.831908832,1.709401709,0.024348671,0.578313253
Jonathan  Butcher,JM_Butcher,heritage,2,0,2,2,2,14,1186,569,3,0,1.583850932,3.726708075,0.000105498,0.108433735
GianCarlo  Canaparo,Gcanaparo,heritage,0,0,1,7,10,27,189,466,2,0,2.050505051,3.025252525,0.001034054,0.120481928
James Jay Carafano,JJCarafano,heritage,12,18,17,159,62,177,16900,5653,4,0,12.70588235,35.23529412,0.042028354,0.722891566
"James W. Ceaser, Ph.D.",jwc2g,heritage,0,0,0,0,0,0,43,5,1,0,0.002202643,0.002202643,0,0
Maiya  Clark,MaiyaCl,heritage,0,0,0,0,2,2,43,50,0,0,0.006725515,0.031946196,4.59E-05,0.036144578
Luke  Coffey,LukeDCoffey,heritage,9,2,3,9,1,23,18500,528,4,0,3.061728395,7.358024691,0.004174088,0.445783133
Helle C. Dale,Helledale,heritage,0,1,1,5,7,29,765,422,3,0,0.154957983,0.200336134,0.001417734,0.228915663
"Kevin   Dayaratna, Ph.D.",kdd0211,heritage,0,1,1,6,21,15,295,574,3,149,0.06222467,0.134361233,0.008185543,0.192771084
James  Di Pane,JamesDiPane,heritage,0,0,0,33,0,24,45,249,0,0,0.009598604,0.078534031,5.04E-05,0.072289157
David  Ditch,DavidADitch,heritage,0,0,0,5,0,0,229,88,0,0,1.15920398,1.492537313,0.000208726,0.144578313
Tim  Doescher,TimothyDoescher,heritage,0,0,1,1,3,1,169,126,4,0,0.127562642,0.166287016,0.000311873,0.096385542
"Lee  Edwards, Ph.D.",LeeWEdwards,heritage,0,1,0,0,1,0,197,30,3,0,0.130434783,0.188405797,0.002263637,0.253012048
Olivia   Enos,OliviaEnos,heritage,4,2,3,45,10,58,3745,2000,3,0,2.068322981,3.708074534,0.032120233,0.457831325
"Edwin J. Feulner, Ph.D.",EdFeulner,heritage,1,18,8,4,28,20,4887,2508,4,0,0.088867654,0.129479216,0.003088825,0.506024096
"Nile  Gardiner, Ph.D.",NileGardiner,heritage,0,4,8,7,9,29,12700,1291,4,0,9.777777778,22.22222222,0.047905285,0.614457831
Mike  Gonzalez,Gundisalvus,heritage,1,8,6,26,38,74,6115,3368,3,0,3.353982301,5.309734513,0.035610295,0.734939759
Joel  Griffith,joelgriffith,heritage,0,1,5,23,37,60,1404,1735,2,0,1.5,4.109589041,0.014104555,0.289156627
Jamie Bryan Hall,Mr_Jamie_B_Hall,heritage,0,0,1,5,7,4,259,238,2,0,0.146535868,0.155732679,0.009094317,0.253012048
"Kim R. Holmes, Ph.D.",kimsmithholmes,heritage,6,3,3,48,39,132,1993,1976,4,0,0.426751592,1.27388535,0.022891362,0.614457831
Mike  Howell,MHowellTweets,heritage,0,0,0,50,87,65,359,1470,3,0,0.745136187,1.16536965,0.005663803,0.228915663
Melanie  Israel,Melanie_Israel,heritage,0,4,3,2,5,17,1130,353,0,0,0.475428571,0.683428571,0.00018645,0.180722892
Thomas  Jipping,TomJipping,heritage,0,0,1,1,7,10,676,160,4,0,1.557195572,1.929889299,0.000114788,0.084337349
Emilie  Kao,EmilieTHF,heritage,1,1,2,12,27,19,1269,654,4,0,0.419811321,0.93081761,0.009814679,0.43373494
Diane  Katz,Dianeskatz,heritage,0,0,1,0,0,2,358,118,3,0,0.125610297,0.135818908,0.001187786,0.240963855
Anthony B. Kim,akfreedom,heritage,0,1,0,2,0,12,526,149,2,0,0.173076923,0.767948718,0.000787435,0.34939759
Klon  Kitchen,klonkitchen,heritage,0,0,1,11,23,26,1795,704,3,85,3.276422764,4.861788618,0.005304983,0.373493976
Bruce  Klingner,BruceKlingner,heritage,7,1,7,3,1,3,10500,133,3,0,0.635379061,1.083032491,9.66E-05,0.204819277
Daniel  Kochis,dankochis,heritage,2,1,2,29,10,23,983,610,3,0,0.77092511,2.643171806,0.009109761,0.301204819
Walter  Lohman,WalterLohman,heritage,4,1,0,10,6,8,2039,371,4,0,1.583586626,1.823708207,0.003493486,0.337349398
Nicolas  Loris,NiconomistLoris,heritage,1,1,4,1,0,6,669,127,4,0,0.018726592,0.034956305,0.000688246,0.277108434
John  Malcolm,malcolm_john,heritage,2,1,4,2,2,4,2139,212,4,0,0.430493274,0.665919283,0.002780158,0.361445783
Jennifer A. Marshall,MarshallJenA,heritage,0,4,2,1,3,14,1878,426,3,18859,0.15697267,0.209530484,0.001076806,0.253012048
Joshua   Meservey,Jmeservey,heritage,1,0,1,9,4,11,861,417,3,0,2.552083333,3.125,0.001141937,0.180722892
Adam  Michel,adamnmichel,heritage,0,1,0,8,5,8,817,394,3,0,0.243767313,0.331855956,0.006147805,0.34939759
"Norbert J. Michel, Ph.D.",norbertjmichel,heritage,3,5,3,8,26,35,2394,2147,4,0,0.785942492,1.916932907,0.022186787,0.385542169
"Robert E. Moffit, Ph.D.",moffitt_robert,heritage,0,0,0,0,0,6,351,15,3,27267,0.010845007,0.015815635,0,0
Stephen  Moore,StephenMoore,heritage,3,25,20,6,35,41,34900,785,3,0,0.263591433,0.493410214,0.00706906,0.397590361
"Melissa  Moschella, Ph.D.",melissamoschell,heritage,0,0,0,0,0,0,45,1,1,0,0.002666667,0.002666667,0,0
Alexis  Mrachek,AlexisMrachek,heritage,1,0,1,9,3,24,501,532,0,0,0.916299559,1.321585903,0.003818476,0.277108434
"James R. Otteson, Ph.D.",jroii,heritage,0,1,0,1,5,20,1338,587,1,993,0.277320799,0.703877791,0,0.012048193
Ana  Quintana,ana_r_quintana,heritage,3,5,9,18,11,26,5219,985,3,0,6.618421053,7.894736842,0.027124275,0.590361446
Lora  Ries,lora_ries,heritage,0,0,0,13,6,18,93,172,3,0,0.118690314,0.231241473,0.00146838,0.204819277
James M. Roberts,JamesMRoberts3,heritage,0,0,0,4,3,4,240,256,2,0,0.080062305,0.110280374,0.000607429,0.060240964
Brett D. Schaefer,BrettDSchaefer,heritage,0,0,0,9,21,23,78,249,3,0,0.012280702,0.01754386,0.000102948,0.096385542
"Parker  Sheppard, Ph.D.",parkersheppard,heritage,0,0,2,3,0,3,312,227,3,0,0.953358209,1.119402985,0.003228631,0.204819277
Robin  Simcox,RobinSimcox,heritage,3,0,4,1,0,5,3041,798,2,0,1.178494624,1.290322581,0.002998559,0.313253012
"Kiron K. Skinner, Ph.D.",KironSkinner,heritage,3,1,2,33,14,22,3234,518,1,0,0.099015634,0.346844239,2.61E-05,0.084337349
Elizabeth  Slattery,EHSlattery,heritage,0,1,6,8,9,38,2261,493,2,0,0.47826087,0.840112202,0.00155485,0.361445783
Tori K.  Smith,theToriKSmith,heritage,0,1,2,30,17,46,790,670,2,0,0.747276688,1.307189542,0.007554765,0.313253012
Jeff  M. Smith,Cold_Peace_,heritage,5,2,5,6,2,8,32100,1225,2,0,1.028985507,1.449275362,0.005323746,0.313253012
Thomas  Spoehr,TomSpoehr,heritage,1,0,0,0,0,0,105,6,4,0,0.017021277,0.022978723,2.37E-05,0.084337349
Patrick  Tyrrell,PatrickTyrrell1,heritage,0,0,0,0,1,0,135,37,4,0,0.084745763,0.090042373,0.002478208,0.13253012
John   Venable,JVVenable,heritage,0,0,2,2,5,8,329,227,3,0,0.549277267,0.784494087,0.000783036,0.21686747
Hans A. von Spakovsky,HvonSpakovsky,heritage,1,4,8,0,0,0,6575,65,3,0,0.498251748,0.524475524,0.000704782,0.43373494
Riley  Walters,WalteRiley,heritage,0,0,2,33,0,64,584,491,2,0,4.4,8,0.002630642,0.253012048
Genevieve  Wood,genevievewood,heritage,1,22,6,0,10,3,6423,627,3,0,0.567324955,1.07540395,0.015440937,0.518072289
